clean,corrupted,target_idx,foil_idx
People call Stephen by the name,People call William by the name,6542,3700
People call Stephen by the name,People call Richard by the name,6542,3700
People call Patrick by the name,People call Robert by the name,3208,4705
People call Patrick by the name,People call William by the name,3208,4705
People call Patrick by the name,People call William by the name,3208,4705
People call Patrick by the name,People call Richard by the name,3208,4705
People call Andrew by the name,People call Robert by the name,12382,3619
People call Andrew by the name,People call William by the name,12382,3619
People call Andrew by the name,People call William by the name,12382,3619
People call Andrew by the name,People call Richard by the name,12382,3619
